Date,Open,High,Low,Close,Adj Close,Volume
2000-12-26,28.300865,30.303030,28.300865,30.059525,24.513060,2814200
2000-12-27,30.086580,31.114719,29.653679,31.087662,25.351484,4787000
2000-12-28,31.087662,32.115803,30.573593,31.682901,25.836891,3168600
2000-12-29,31.709957,31.709957,30.248919,30.330086,24.733702,3666800
2001-01-02,30.140692,31.547619,29.924242,30.654762,24.998465,6787800
2001-01-03,30.681818,30.681818,28.571428,28.625542,23.343664,5491600
2001-01-04,28.544373,28.571428,27.245670,27.272728,22.240463,5697600
2001-01-05,27.922077,29.707792,27.786797,29.166666,23.784946,4821200
2001-01-08,29.545454,30.059525,29.220779,29.464285,24.027649,3451600
2001-01-09,30.032467,30.086580,28.300865,28.814936,23.498121,4082400
2001-01-10,28.814936,29.329004,28.652597,28.760822,23.453985,3477200
2001-01-11,29.112555,29.545454,28.679653,28.814936,23.498121,3937000
2001-01-12,28.787878,28.787878,27.813852,28.165585,22.968578,3126400
2001-01-16,28.192640,28.409090,27.705627,28.192640,22.990643,3913400
2001-01-17,27.867966,27.867966,26.515152,26.785715,21.843321,5459000
2001-01-18,25.974026,26.136364,25.216450,25.811687,21.049015,7330000
2001-01-19,25.459957,26.515152,25.351732,26.055195,21.247585,5475600
2001-01-22,26.352814,26.866882,26.244589,26.596321,21.688879,3204200
2001-01-23,26.623377,27.326839,26.190475,26.623377,21.710939,3413200
2001-01-24,27.164503,27.326839,26.461039,26.596321,21.688879,3703400
2001-01-25,27.002165,27.786797,26.948051,27.651516,22.549364,6183200
2001-01-26,27.759741,27.976191,26.677488,26.812771,21.865389,4427000
2001-01-29,26.709957,26.774891,26.277056,26.307360,21.453230,3748000
2001-01-30,26.017317,26.060606,24.891775,25.264069,20.602442,5780200
2001-01-31,25.541126,25.714285,24.675325,24.935064,20.334156,4866400
2001-02-01,25.194805,25.385281,24.528139,24.727272,20.164696,4551800
2001-02-02,25.000000,26.199135,24.995670,26.038961,21.234356,4651200
2001-02-05,25.995670,26.822512,25.995670,26.142857,21.319082,3681200
2001-02-06,25.865801,26.926407,25.545454,26.779221,21.838020,3567600
2001-02-07,26.883118,27.354979,26.277056,27.164503,22.152212,3702200
2001-02-08,27.164503,27.376623,26.753246,26.839827,21.887438,3383600
2001-02-09,26.623377,27.748919,26.623377,27.142857,22.134556,3866200
2001-02-12,27.147186,27.333334,26.623377,27.064936,22.071020,2954800
2001-02-13,26.839827,27.588745,26.818182,27.367966,22.318134,2561600
2001-02-14,27.683983,28.008657,26.865801,26.926407,21.958050,4353600
2001-02-15,26.493507,26.731602,25.952381,26.419914,21.545019,3979000
2001-02-16,26.883118,27.402597,26.367966,26.571428,21.668566,4605400
2001-02-20,26.861471,27.229437,26.731602,27.099567,22.099257,3196400
2001-02-21,27.705627,28.354979,26.774891,26.870131,21.912163,5521400
2001-02-22,26.839827,27.030304,26.082251,26.458874,21.576786,3731000
2001-02-23,26.666666,26.709957,25.627707,25.991343,21.195530,2828800
2001-02-26,25.991343,26.450216,25.913420,26.272728,21.424986,2815200
2001-02-27,26.190475,26.831169,26.103895,26.212122,21.375559,2169600
2001-02-28,26.450216,26.450216,25.393940,25.411255,20.722466,3045400
2001-03-01,25.541126,25.722944,25.303030,25.666666,20.930752,3013000
2001-03-02,25.952381,26.471861,25.735931,26.333334,21.474413,2514200
2001-03-05,26.709957,27.142857,26.610390,27.030304,22.042780,2059400
2001-03-06,27.272728,28.138529,27.142857,28.051949,22.875908,3927800
2001-03-07,28.571428,29.177488,28.354979,29.017317,23.663153,5365600
2001-03-08,29.220779,29.653679,28.744589,29.653679,24.182096,5371800
2001-03-09,29.653679,29.653679,28.952381,29.177488,23.793774,3133200
2001-03-12,28.658009,28.658009,27.402597,28.181818,22.981827,5491200
2001-03-13,28.268398,28.268398,27.103895,27.502165,22.427568,5179600
2001-03-14,27.229437,27.662338,26.735931,27.051949,22.060429,5015800
2001-03-15,27.402597,27.402597,26.376623,26.692640,21.767424,2318800
2001-03-16,26.709957,27.164503,26.194805,26.281385,21.432043,3655200
2001-03-19,26.623377,27.168831,26.406927,26.779221,21.838020,2990400
2001-03-20,26.926407,27.653679,26.883118,27.151516,22.141636,3744400
2001-03-21,26.666666,26.900433,25.909090,26.069263,21.259052,3348800
2001-03-22,26.038961,26.038961,23.809525,24.640692,20.094082,8424600
2001-03-23,25.541126,25.584415,24.896105,25.398268,20.711884,4568400
2001-03-26,26.082251,26.112555,25.372293,25.800865,21.040192,3058600
2001-03-27,25.757576,25.952381,24.826839,25.043289,20.422401,4771600
2001-03-28,25.108225,25.151516,24.502165,24.601732,20.062317,4183600
2001-03-29,24.069263,24.147186,23.463203,23.761906,19.377449,5290400
